"50","Caverna: The Cave Farmers","カヴェルナ: 洞窟の農夫たち","2013","7.755","3.78","4","Uwe Rosenberg","https://boardgamegeek.com/boardgame/102794/caverna-the-cave-farmers"
"51","Anachrony","アナクロニー","2017","7.751","4.01","3","Dávid Turczi","https://boardgamegeek.com/boardgame/185343/anachrony"
"52","Pandemic Legacy: Season 0","パンデミック：レガシー シーズン0","2020","7.75","3.16","4","Rob Daviau,Matt Leacock","https://boardgamegeek.com/boardgame/314040/pandemic-legacy-season-0"
"53","On Mars","オン・マーズ","2020","7.749","4.67","3","Vital Lacerda","https://boardgamegeek.com/boardgame/184267/on-mars"
"54","Blood Rage","ブラッドレイジ","2015","7.746","2.88","4","Eric M. Lang","https://boardgamegeek.com/boardgame/170216/blood-rage"
"55","Agricola","アグリコラ","2007","7.742","3.64","3,4","Uwe Rosenberg","https://boardgamegeek.com/boardgame/31260/agricola"
"56","Sleeping Gods","スリーピング・ゴッズ","2021","7.731","3.24","2","Ryan Laukat","https://boardgamegeek.com/boardgame/255984/sleeping-gods"
"57","Hegemony: Lead Your Class to Victory","","2023","7.729","4.2","4","Vangelis Bagiartakis,Varnavas Timotheou","https://boardgamegeek.com/boardgame/321608/hegemony-lead-your-class-to-victory"
"58","Cthulhu: Death May Die","クトルフ〜死もまた死すべし〜","2019","7.725","2.48","3","Rob Daviau,Eric M. Lang","https://boardgamegeek.com/boardgame/253344/cthulhu-death-may-die"
"59","Oathsworn: Into the Deepwood","","2022","7.723","3.67","2,4","Jamie Jolly","https://boardgamegeek.com/boardgame/251661/oathsworn-into-the-deepwood"
"60","Lisboa","","2017","7.717","4.58","3","Vital Lacerda","https://boardgamegeek.com/boardgame/161533/lisboa"
"61","Pandemic Legacy: Season 2","パンデミック:レガシー シーズン2","2017","7.716","3.26","4","Rob Daviau,Matt Leacock","https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2"
"62","Mansions of Madness: Second Edition","マンション・オブ・マッドネス第2版","2016","7.705","2.69","3,4","Nikki Valens","https://boardgamegeek.com/boardgame/205059/mansions-of-madness-second-edition"
"63","Obsession","","2018","7.704","3.09","2","Dan Hallagan","https://boardgamegeek.com/boardgame/231733/obsession"
"64","Grand Austria Hotel","","2015","7.697","3.21","2","Virginio Gigli,Simone Luciani","https://boardgamegeek.com/boardgame/182874/grand-austria-hotel"
"65","Tzolk'in: The Mayan Calendar","ツォルキン：マヤ神聖歴","2012","7.696","3.67","4","Simone Luciani,Daniele Tascini","https://boardgamegeek.com/boardgame/126163/tzolkin-the-mayan-calendar"
"66","Power Grid","電力会社","2004","7.694","3.25","4,5","Friedemann Friese","https://boardgamegeek.com/boardgame/2651/power-grid"
"67","Maracaibo","マラカイボ","2019","7.683","3.92","3","Alexander Pfister","https://boardgamegeek.com/boardgame/276025/maracaibo"
"68","The Quacks of Quedlinburg","クアックサルバー","2018","7.678","1.94","4","Wolfgang Warsch","https://boardgamegeek.com/boardgame/244521/the-quacks-of-quedlinburg"
"69","Clans of Caledonia","クランズ・オブ・カレドニア","2017","7.677","3.46","4","Juma Al-JouJou","https://boardgamegeek.com/boardgame/216132/clans-of-caledonia"
"70","Le Havre","ル・アーブル","2008","7.675","3.71","3","Uwe Rosenberg","https://boardgamegeek.com/boardgame/35677/le-havre"
"71","The Gallerist","ギャラリスト","2015","7.673","4.23","3,4","Vital Lacerda","https://boardgamegeek.com/boardgame/125153/the-gallerist"
"72","Paladins of the West Kingdom","西フランク王国の聖騎士","2019","7.672","3.72","2","S J Macdonald,Shem Phillips","https://boardgamegeek.com/boardgame/266810/paladins-of-the-west-kingdom"
"73","Star Wars: Imperial Assault","","2014","7.666","3.3","2,5","Justin Kemppainen,Corey Konieczka,Jonathan Ying","https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault"
"74","Android: Netrunner","アンドロイド：ネットランナー","2012","7.658","3.41","2","Richard Garfield,Lukas Litzsinger","https://boardgamegeek.com/boardgame/124742/android-netrunner"
"75","Mechs vs. Minions","","2016","7.651","2.45","4","Chris Cantrell,Rick Ernst,Stone Librande,Prashant Saraswat,Nathan Tiras","https://boardgamegeek.com/boardgame/209010/mechs-vs-minions"
"76","The Crew: The Quest for Planet Nine","ザ・クルー 第９惑星の探索","2019","7.65","1.95","4","Thomas Sing","https://boardgamegeek.com/boardgame/284083/the-crew-the-quest-for-planet-nine"
"77","Age of Innovation","テラミスティカ：革新の時代","2023","7.65","4.26","4","Helge Ostertag","https://boardgamegeek.com/boardgame/383179/age-of-innovation"
"78","Kingdom Death: Monster","","2015","7.646","4.26","4","Adam Poots","https://boardgamegeek.com/boardgame/55690/kingdom-death-monster"
"79","Agricola (Revised Edition)","アグリコラ：リバイズドエディション","2016","7.641","3.45","3,4","Uwe Rosenberg","https://boardgamegeek.com/boardgame/200680/agricola-revised-edition"
"80","Azul","アズール","2017","7.629","1.77","2","Michael Kiesling","https://boardgamegeek.com/boardgame/230802/azul"
